rent,district,area,buildingheight,parkingspace,community,guard,pet,cvs,hospital,mrt,bus
5298795,1,3249.12,23,0,0,1,1,1,1,1,1
4682154,1,3634.69,23,0,0,1,1,1,1,1,0
4176760,1,2673.42,23,0,0,1,1,1,1,1,0
3954109,0,2272.57,7,80,0,1,1,1,0,1,0
3648408,1,2673.42,23,0,0,1,1,1,1,1,0
3606750,1,200,11,0,0,1,1,1,1,1,1
3120056,1,2342.2,23,0,0,1,1,1,1,1,0
3098928,0,2810,13,0,0,1,1,0,0,0,0
2591704,1,2012.98,23,0,0,1,1,1,1,1,0
2427803,0,2541.58,13,0,0,1,1,0,0,0,0
2160000,1,1082.74,10,0,0,1,1,0,0,1,1
2079708,1,1682.66,23,0,0,1,1,1,1,1,0
1825308,0,1521.09,13,0,0,1,1,0,0,0,0
1512222,1,1316.54,23,0,0,1,1,1,1,1,0
1419370,0,5001.49,19,0,0,1,1,0,0,1,1
1250000,1,473.86,5,0,0,0,1,0,0,1,1
1220000,0,671.14,10,20,0,1,1,1,0,1,1
1160000,0,891.48,9,0,0,1,1,1,0,0,0
1135985,1,240.42,12,0,0,1,1,1,0,1,1
1090000,0,835.53,9,0,0,1,1,1,0,1,0
1003572,1,490.15,15,0,0,1,1,1,0,1,1
1000071,1,986.12,23,0,0,1,1,1,1,1,0
1000000,1,224.32,12,0,0,1,1,1,1,1,1
997000,0,996.94,5,16,0,0,0,1,0,0,0
912648,0,760.54,13,0,0,1,1,0,0,0,0
880000,1,118.29,7,0,0,0,0,1,0,1,1
866000,1,150,22,0,0,1,0,1,1,1,0
839230,1,119.89,31,0,0,1,1,0,0,1,1
836000,1,418.22,16,2,0,1,1,1,1,1,0
800000,1,313.87,15,0,0,1,1,1,0,1,1
777000,1,122.27,11,8,0,1,1,1,0,1,1
687000,0,458.55,3,0,0,1,0,1,0,1,1
662000,1,367.59,16,0,0,1,1,1,0,1,1
660000,1,549.46,13,0,0,1,1,0,1,1,1
650000,1,115.18,9,0,0,1,1,1,1,1,1
650000,0,162.93,7,0,0,1,0,1,0,1,0
650000,0,301.86,10,0,0,1,1,1,0,1,1
625432,0,290.8,7,0,0,1,1,1,0,1,0
600000,1,154.45,12,0,0,1,1,1,1,1,0
600000,1,195.07,9,0,0,1,1,0,0,1,1
600000,0,248.93,7,10,0,1,1,1,1,0,0
600000,0,443.38,6,12,0,1,1,0,0,0,1
598000,1,281.36,14,0,0,1,1,1,1,1,1
585000,1,197.64,12,0,0,1,1,1,0,1,1
570000,1,240.19,9,0,0,1,0,1,1,1,1
567600,0,358.07,9,12,0,1,1,0,0,0,1
562626,1,312.57,23,0,0,1,1,1,1,1,1
560000,1,92.72,3,0,0,0,1,1,1,1,1
558969,1,243.03,23,0,0,1,1,1,1,1,1
550000,0,105.14,3,0,0,0,0,1,0,1,1
550000,0,506.82,8,6,0,1,1,1,0,1,1
550000,0,415.94,9,0,0,1,1,1,0,1,0
544076,1,209.26,35,0,0,1,1,1,0,1,1
540000,0,419.59,9,0,0,1,1,1,0,1,0
535072,0,233.37,7,0,0,0,1,1,0,1,0
525678,0,303.86,7,0,0,1,1,1,0,1,0
525000,0,358.51,9,10,0,1,1,0,0,0,1
517804,0,369.86,13,0,0,1,1,0,0,0,0
512634,0,361.01,7,0,0,1,1,1,0,1,0
511598,0,360.28,7,0,0,1,1,1,0,1,0
505394,1,300.82,23,0,0,1,1,1,1,1,1
504685,0,305.84,11,0,0,1,1,1,0,1,1
500000,1,264.29,7,0,0,0,1,1,1,1,1
500000,1,103.57,12,1,0,1,1,1,0,1,0
498000,1,192.57,19,0,0,1,1,0,0,1,1
490000,1,196.57,35,2,0,1,1,1,0,1,0
487920,1,325.28,23,0,0,1,1,1,1,1,1
487350,0,361,6,2,0,1,1,1,0,1,1
483210,0,268.45,13,0,0,1,1,0,0,0,0
480000,0,193.78,10,0,0,1,0,0,0,1,1
480000,1,168.4,7,0,0,0,1,1,0,1,0
480000,1,118.45,14,0,1,1,1,1,0,1,1
480000,1,240.51,12,0,0,1,1,1,1,1,1
474220,0,362,7,0,0,1,1,1,0,1,0
472976,0,361.05,7,0,0,1,1,1,0,1,0
470000,1,47.8,12,0,0,0,1,1,0,1,1
466102,0,358.54,9,0,0,1,1,1,0,0,0
465595,0,358.15,9,0,0,1,1,1,0,0,0
460000,0,577.34,7,10,0,1,0,1,0,1,1
458000,0,400,7,2,0,1,1,0,0,0,1
450000,1,355,5,0,0,0,1,1,0,1,0
450000,1,221.56,4,0,0,0,1,1,1,1,1
450000,0,158.55,10,2,0,1,0,1,0,1,1
447300,0,425.95,5,0,0,1,1,1,0,0,0
444000,0,370,7,0,0,1,1,1,0,1,0
444000,0,370,7,0,0,1,1,1,0,1,0
440000,1,247.6,12,0,0,0,1,0,0,1,1
432000,1,238.75,14,1,0,1,1,1,1,1,0
430000,0,196.77,15,8,0,1,1,1,0,1,1
420000,1,282.24,10,3,0,1,1,1,0,1,0
420000,0,299.89,8,0,0,1,1,1,0,0,1
418000,1,209.11,16,2,0,1,1,1,1,1,0
